"satisfaction","income","job_income","parents_income","rent_space","rent_price","study_hours","work_hours","grade","siblings","course","TV_size","attitude_cannabis","use_cannabis","health","partner","gender","year","food_expenses"
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA
7,800,1000,NA,12,190,40,8,2.5,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Very good","No","Female",2017,300
10,650,3000,5000,75,350,3,7,1.8,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Very good","No","Male",2017,250
7,450,3333,20000,64,410,4,8,1.9,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Male",2017,180
8,650,1500,NA,130,200,10,12,1.7,4,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","No","Female",2017,80
8,900,3000,1100,60,250,5,10,2.3,1,"Introductory Econometrics",NA,"No, cannabis should not be legalized.","No, I never used cannabis.","Very good","No","Female",2017,200
3,380,600,1100,15,200,8,0,2.4,3,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","No, I never used cannabis.","Good","No","Male",2017,25
7,450,4000,2000,120,0,10,14,2.1,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","No, I never used cannabis.","Good","No","Male",2017,100
8,450,1000,1200,12,180,4,18,1.6,2,"Introductory Econometrics",NA,"No, cannabis should not be legalized.","No, I never used cannabis.","Very good","Yes","Female",2017,200
5,735,2000,0,13,0,3,20,2.6,2,"Both",NA,"No, cannabis should not be legalized.","Yes, I used cannabis at least once.","Very good","No","Female",2017,200
6,900,4000,17000,35,320,3,16,3,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Male",2017,70
7,500,1800,2000,150,200,30,0,1.7,0,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","No","Male",2017,200
8,900,2000,5000,45,400,6,8,2.9,3,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Very good","No","Male",2017,300
8,750,3000,3000,51,460,10,16,2.2,2,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Very good","Yes","Male",2017,100
7,NA,5000,30000,30,400,15,10,2.4,0,"Both",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Very good","No","Male",2017,200
7,840,3000,1000,47,370,25,0,1.7,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Female",2017,60
5,0,2500,1000,14,180,15,0,1.6,0,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Female",2017,70
3,700,4000,9000,35,320,70,0,1.5,1,"Introductory Econometrics",NA,"Yes, cannabis should be legalized.","No, I never used cannabis.","Poor","Yes","Male",2017,250
